Date,Open,High,Low,Close,Adj Close,Volume
1980/12/12,0.128348,0.128906,0.128348,0.128348,0.099319,469033600
1980/12/15,0.12221,0.12221,0.121652,0.121652,0.094137,175884800
1980/12/16,0.113281,0.113281,0.112723,0.112723,0.087228,105728000
1980/12/17,0.115513,0.116071,0.115513,0.115513,0.089387,86441600
1980/12/18,0.118862,0.11942,0.118862,0.118862,0.091978,73449600
1980/12/19,0.126116,0.126674,0.126116,0.126116,0.097591,48630400
1980/12/22,0.132254,0.132813,0.132254,0.132254,0.102341,37363200
1980/12/23,0.137835,0.138393,0.137835,0.137835,0.10666,46950400
1980/12/24,0.145089,0.145647,0.145089,0.145089,0.112273,48003200
1980/12/26,0.158482,0.15904,0.158482,0.158482,0.122637,55574400
1980/12/29,0.160714,0.161272,0.160714,0.160714,0.124364,93161600
1980/12/30,0.157366,0.157366,0.156808,0.156808,0.121342,68880000
1980/12/31,0.152902,0.152902,0.152344,0.152344,0.117887,35750400
1981/1/2,0.154018,0.155134,0.154018,0.154018,0.119183,21660800
1981/1/5,0.151228,0.151228,0.15067,0.15067,0.116592,35728000
1981/1/6,0.144531,0.144531,0.143973,0.143973,0.11141,45158400
1981/1/7,0.138393,0.138393,0.137835,0.137835,0.10666,55686400
1981/1/8,0.135603,0.135603,0.135045,0.135045,0.104501,39827200
1981/1/9,0.142299,0.142857,0.142299,0.142299,0.110114,21504000
1981/1/12,0.142299,0.142299,0.141183,0.141183,0.109251,23699200
1981/1/13,0.136719,0.136719,0.136161,0.136161,0.105365,23049600
1981/1/14,0.136719,0.137277,0.136719,0.136719,0.105796,14291200
1981/1/15,0.139509,0.140625,0.139509,0.139509,0.107955,14067200
1981/1/16,0.138951,0.138951,0.138393,0.138393,0.107092,13395200
1981/1/19,0.146763,0.147321,0.146763,0.146763,0.113569,41574400
1981/1/20,0.142857,0.142857,0.142299,0.142299,0.110114,30083200
1981/1/21,0.145089,0.146205,0.145089,0.145089,0.112273,15904000
1981/1/22,0.146763,0.147879,0.146763,0.146763,0.113569,35548800
1981/1/23,0.146763,0.147321,0.146205,0.146205,0.113137,11222400
1981/1/26,0.144531,0.144531,0.143973,0.143973,0.11141,24640000
1981/1/27,0.143973,0.143973,0.142857,0.142857,0.110546,23699200
1981/1/28,0.138951,0.138951,0.138393,0.138393,0.107092,28156800
1981/1/29,0.133929,0.133929,0.133371,0.133371,0.103206,43904000
1981/1/30,0.127232,0.127232,0.126116,0.126116,0.097591,46188800
1981/2/2,0.11942,0.11942,0.118862,0.118862,0.091978,23766400
1981/2/3,0.123326,0.123884,0.123326,0.123326,0.095433,19152000
1981/2/4,0.12779,0.128348,0.12779,0.12779,0.098887,27865600
1981/2/5,0.12779,0.128906,0.12779,0.12779,0.098887,7929600
1981/2/6,0.128348,0.128906,0.128348,0.128348,0.099319,13865600
1981/2/9,0.122768,0.122768,0.121652,0.121652,0.094137,16755200
1981/2/10,0.121652,0.12221,0.121652,0.121652,0.094137,18345600
1981/2/11,0.118304,0.118304,0.117746,0.117746,0.091115,13843200
1981/2/12,0.117188,0.117188,0.116629,0.116629,0.09025,14560000
1981/2/13,0.114955,0.114955,0.113839,0.113839,0.088091,11155200
1981/2/17,0.116629,0.117188,0.116629,0.116629,0.09025,12275200
1981/2/18,0.121652,0.122768,0.121652,0.121652,0.094137,19241600
1981/2/19,0.114955,0.114955,0.114397,0.114397,0.088523,22310400
1981/2/20,0.108817,0.108817,0.108259,0.108259,0.083773,24371200
1981/2/23,0.109933,0.110491,0.109933,0.109933,0.085069,14112000
1981/2/24,0.107143,0.107143,0.106027,0.106027,0.082046,16979200
1981/2/25,0.112723,0.113281,0.112723,0.112723,0.087228,19488000
1981/2/26,0.114397,0.114955,0.114397,0.114397,0.088523,10841600
1981/2/27,0.118304,0.11942,0.118304,0.118304,0.091546,14761600
1981/3/2,0.118862,0.11942,0.118862,0.118862,0.091978,11760000
1981/3/3,0.117746,0.117746,0.117188,0.117188,0.090683,16172800
1981/3/4,0.116629,0.116629,0.116071,0.116071,0.089818,13708800
1981/3/5,0.116071,0.116071,0.115513,0.115513,0.089387,5376000
1981/3/6,0.115513,0.115513,0.114397,0.114397,0.088523,11603200
1981/3/9,0.106027,0.106027,0.105469,0.105469,0.081614,15321600
1981/3/10,0.101004,0.101004,0.100446,0.100446,0.077727,28380800
1981/3/11,0.097656,0.097656,0.09654,0.09654,0.074705,29859200
1981/3/12,0.100446,0.101004,0.100446,0.100446,0.077727,59248000
1981/3/13,0.099888,0.099888,0.09933,0.09933,0.076864,231302400
1981/3/16,0.103237,0.104353,0.103237,0.103237,0.079887,37228800
1981/3/17,0.108259,0.109375,0.108259,0.108259,0.083773,43747200
1981/3/18,0.114955,0.116071,0.114955,0.114955,0.088955,36937600
1981/3/19,0.114397,0.114397,0.113839,0.113839,0.088091,37811200
1981/3/20,0.114955,0.116071,0.114955,0.114955,0.088955,14604800
1981/3/23,0.11942,0.120536,0.11942,0.11942,0.09241,22019200
1981/3/24,0.11942,0.11942,0.118862,0.118862,0.091978,28156800
1981/3/25,0.117746,0.117746,0.116629,0.116629,0.09025,7056000
1981/3/26,0.114955,0.114955,0.114397,0.114397,0.088523,12275200
1981/3/27,0.111049,0.111049,0.110491,0.110491,0.085501,12252800
1981/3/30,0.110491,0.111607,0.110491,0.110491,0.085501,9900800
1981/3/31,0.110491,0.110491,0.109375,0.109375,0.084637,15993600
1981/4/1,0.108817,0.108817,0.108259,0.108259,0.083773,34070400
1981/4/2,0.117746,0.118304,0.117746,0.117746,0.091115,31404800
1981/4/3,0.118304,0.118862,0.118304,0.118304,0.091546,16486400
1981/4/6,0.116629,0.116629,0.116071,0.116071,0.089818,22803200
1981/4/7,0.115513,0.115513,0.114955,0.114955,0.088955,10684800
1981/4/8,0.120536,0.121652,0.120536,0.120536,0.093274,21952000
1981/4/9,0.122768,0.123326,0.122768,0.122768,0.095001,12499200
1981/4/10,0.124442,0.125,0.124442,0.124442,0.096296,33465600
1981/4/13,0.124442,0.125,0.124442,0.124442,0.096296,16060800
1981/4/14,0.124442,0.125,0.124442,0.124442,0.096296,6652800
1981/4/15,0.118862,0.118862,0.118304,0.118304,0.091546,34048000
1981/4/16,0.112165,0.112165,0.111607,0.111607,0.086364,23878400
1981/4/20,0.114955,0.115513,0.114955,0.114955,0.088955,35347200
1981/4/21,0.122768,0.123326,0.122768,0.122768,0.095001,28537600
1981/4/22,0.127232,0.12779,0.127232,0.127232,0.098455,18995200
1981/4/23,0.13058,0.131138,0.13058,0.13058,0.101046,58016000
1981/4/24,0.13058,0.13058,0.129464,0.129464,0.100182,35056000
1981/4/27,0.128906,0.128906,0.128348,0.128348,0.099319,38528000
