,Year,Reporter,Import/Export,Partner,Description,Value_USD
442,2008,China,Import,Rep. of Korea,"Machinery, appliances, and tools",65256907156.0
84368,2008,United Kingdom,Import,Spain,Chemicals and pharmaceuticals,1456191704.0
80477,2008,France,Import,Morocco,Textiles and clothing,1530462594.0
9049,2008,France,Import,Norway,"Minerals, stone, and their products",10378526047.0
94679,2008,USA,Import,Mexico,Arts and games products,1284206201.0
9051,2008,Germany,Export,Netherlands,Metals,10376107311.435
40048,2008,Belarus,Import,Russian Federation,Metals,3061718000.0
73620,2008,Chile,Export,Rep. of Korea,Metals,1680689931.167
90735,2008,Italy,Import,India,Textiles and clothing,1345229178.75
66227,2008,Netherlands,Export,Italy,plastics and rubber,1877526553.0
96959,2008,Singapore,Import,China,Textiles and clothing,1250630230.0
63756,2008,Thailand,Import,Germany,"Machinery, appliances, and tools",1953837812.0
48050,2008,United Arab Emirates,Import,Japan,"Machinery, appliances, and tools",2589185348.0
30771,2008,Japan,Export,"Other Asia, nes","Minerals, stone, and their products",3894033215.0
48053,2008,USA,Export,Costa Rica,"Machinery, appliances, and tools",2588746701.0
8981,2008,India,Import,Kuwait,"Minerals, stone, and their products",10438997729.0
20993,2008,Belgium,Import,France,Miscellaneous food products,5395688684.0
20990,2008,Brazil,Export,China,Plant products,5396174960.0
37913,2008,"China, Hong Kong SAR",Import,Japan,Arts and games products,3225592081.0
20986,2008,"Other Asia, nes",Export,China,Metals,5396922485.0
53748,2008,China,Import,Finland,"Machinery, appliances, and tools",2319706821.0
48060,2008,Brazil,Export,Russian Federation,Animal products,2588233777.0
79963,2008,France,Export,United Kingdom,Paper and wood,1540869546.0
95418,2008,Sweden,Export,Finland,"Minerals, stone, and their products",1273142532.0
48069,2008,China,Import,Libya,"Minerals, stone, and their products",2587598814.0
8989,2008,Germany,Export,Netherlands,Chemicals and pharmaceuticals,10428542498.117
84922,2008,"China, Hong Kong SAR",Export,Italy,"Machinery, appliances, and tools",1446346051.0
71360,2008,Chile,Import,Argentina,"Minerals, stone, and their products",1737165129.532
8999,2008,Malaysia,Import,Japan,"Machinery, appliances, and tools",10420554813.0
63753,2008,Germany,Export,Belgium,Textiles and clothing,1953926581.267
30495,2008,France,Export,Belgium,"Minerals, stone, and their products",3926846463.0
73077,2008,Netherlands,Import,Poland,"Machinery, appliances, and tools",1693597674.0
9748,2008,Netherlands,Import,Norway,"Minerals, stone, and their products",9794318000.0
97309,2008,Rep. of Korea,Export,Saudi Arabia,Vehicles and their parts,1245299318.0
86923,2008,United Kingdom,Export,Switzerland,"Machinery, appliances, and tools",1410035591.0
38963,2008,Russian Federation,Import,USA,Vehicles and their parts,3142568372.0
18812,2008,United Kingdom,Import,Germany,Chemicals and pharmaceuticals,5871552694.0
19428,2008,China,Import,USA,plastics and rubber,5726950798.0
65492,2008,Libya,Export,China,"Minerals, stone, and their products",1899984139.0
65072,2008,Italy,Export,Czechia,"Machinery, appliances, and tools",1912638561.267
84631,2008,Norway,Import,Denmark,"Machinery, appliances, and tools",1451553483.396
10453,2008,Spain,Import,France,"Machinery, appliances, and tools",9290614218.883
18817,2008,Germany,Export,Switzerland,Chemicals and pharmaceuticals,5870500249.221
95215,2008,USA,Import,Malaysia,plastics and rubber,1276064104.0
2200,2008,Russian Federation,Export,Italy,"Minerals, stone, and their products",26463729434.0
19416,2008,Belgium,Import,Norway,"Minerals, stone, and their products",5729010418.0
54763,2008,Mexico,Import,USA,Furniture and decor,2277912964.0
38950,2008,Saudi Arabia,Import,Germany,"Machinery, appliances, and tools",3143459662.0
19409,2008,Switzerland,Export,USA,"Machinery, appliances, and tools",5731167825.724001
90499,2008,United Kingdom,Import,Thailand,"Machinery, appliances, and tools",1349222080.0
10477,2008,Germany,Export,Austria,Metals,9273763294.064001
54765,2008,Chile,Import,China,Textiles and clothing,2277728297.861
48910,2008,Oman,Export,Thailand,"Minerals, stone, and their products",2544410053.0
65495,2008,Germany,Export,United Kingdom,Textiles and clothing,1899954638.343
92036,2008,Ukraine,Import,Germany,Vehicles and their parts,1325238311.0
97318,2008,China,Export,Russian Federation,Animal products,1245187819.0
38508,2008,China,Export,Russian Federation,Metals,3178787860.0
65503,2008,Poland,Import,France,Vehicles and their parts,1899700390.0
18795,2008,Germany,Import,France,plastics and rubber,5877631602.714
19462,2008,Germany,Import,Ireland,"Machinery, appliances, and tools",5719272347.838
65052,2008,Finland,Export,Special Categories,Paper and wood,1913238020.0
2873,2008,USA,Import,Iraq,"Minerals, stone, and their products",22708256653.0
54287,2008,Switzerland,Export,Italy,Textiles and clothing,2295549294.443
95217,2008,India,Import,Algeria,"Minerals, stone, and their products",1275966800.0
72476,2008,India,Export,Brazil,"Minerals, stone, and their products",1707843554.0
72474,2008,USA,Import,"Other Asia, nes",Textiles and clothing,1708016517.0
54291,2008,India,Import,USA,Metals,2295289162.0
19450,2008,Belgium,Export,Netherlands,Chemicals and pharmaceuticals,5722700346.0
11059,2008,Singapore,Export,Rep. of Korea,"Machinery, appliances, and tools",8887581935.0
19448,2008,Singapore,Import,Germany,"Machinery, appliances, and tools",5722793772.0
19447,2008,Switzerland,Import,Germany,Vehicles and their parts,5722898951.547001
11058,2008,Algeria,Export,Spain,"Minerals, stone, and their products",8888040393.0
32561,2008,Switzerland,Import,Germany,Furniture and decor,3705701963.682
65056,2008,France,Export,Morocco,"Machinery, appliances, and tools",1913115130.0
65082,2008,Russian Federation,Import,China,Vehicles and their parts,1912286133.0
32029,2008,France,Import,Italy,plastics and rubber,3756857511.0
32554,2008,France,Import,USA,"Minerals, stone, and their products",3706344796.0
48933,2008,France,Export,Singapore,"Machinery, appliances, and tools",2543616689.0
88220,2008,United Kingdom,Export,Sweden,Vehicles and their parts,1386934421.0
72392,2008,Ireland,Export,United Kingdom,Unspecified,1710023262.298
32079,2008,Czechia,Import,Japan,"Machinery, appliances, and tools",3751286000.0
38902,2008,Italy,Export,Belgium,"Machinery, appliances, and tools",3147214365.406
54327,2008,France,Export,Germany,Plant products,2294136177.0
38901,2008,France,Import,Belgium,Miscellaneous food products,3147215716.0
32512,2008,China,Export,Philippines,"Machinery, appliances, and tools",3710012547.0
10525,2008,France,Export,United Kingdom,"Machinery, appliances, and tools",9241592918.0
10541,2008,Ukraine,Import,Russian Federation,"Minerals, stone, and their products",9228412980.0
48939,2008,Finland,Import,Germany,Vehicles and their parts,2543021824.0
2243,2008,Germany,Export,United Kingdom,"Machinery, appliances, and tools",26149331092.591
65459,2008,Denmark,Import,China,Textiles and clothing,1900682604.0
32089,2008,Belgium,Export,France,Paper and wood,3750516979.0
38565,2008,Canada,Import,Germany,Vehicles and their parts,3174179543.0
10555,2008,Italy,Export,Spain,"Machinery, appliances, and tools",9219451693.748
48958,2008,Netherlands,Import,Belgium,Miscellaneous food products,2541702757.0
10558,2008,China,Import,Japan,Chemicals and pharmaceuticals,9218331181.0
10542,2008,Netherlands,Import,Germany,Metals,9228406258.0
65120,2008,Spain,Export,Germany,plastics and rubber,1910981352.1230001
38549,2008,India,Import,Rep. of Korea,"Machinery, appliances, and tools",3175318710.0
54718,2008,France,Import,Italy,Paper and wood,2279601170.0
54751,2008,China,Import,"China, Hong Kong SAR",Unspecified,2278297210.0
65097,2008,China,Export,Malaysia,Metals,1911776358.0
71987,2008,Chile,Export,France,Metals,1720228344.843
11034,2008,USA,Export,Australia,"Machinery, appliances, and tools",8907301511.0
72427,2008,Austria,Export,Hungary,"Machinery, appliances, and tools",1709325858.0
38935,2008,Australia,Import,Malaysia,"Minerals, stone, and their products",3144516569.0
65103,2008,Spain,Export,France,Paper and wood,1911510378.2799997
10501,2008,Spain,Import,Algeria,"Minerals, stone, and their products",9258528765.93
32047,2008,India,Import,Malaysia,"Minerals, stone, and their products",3754995407.0
88211,2008,India,Import,USA,"Minerals, stone, and their products",1387124140.0
38926,2008,USA,Export,Rep. of Korea,Vehicles and their parts,3145114347.0
80527,2008,Portugal,Import,France,"Machinery, appliances, and tools",1529298693.0
11014,2008,Italy,Import,France,"Machinery, appliances, and tools",8919921675.014
54727,2008,Türkiye,Export,Switzerland,Metals,2279301171.0
38918,2008,Australia,Import,United Kingdom,Metals,3145904729.0
32064,2008,USA,Export,Belgium,Metals,3752729231.0
10514,2008,Germany,Import,United Kingdom,Vehicles and their parts,9249913461.296001
65116,2008,"Other Asia, nes",Export,"China, Hong Kong SAR",Textiles and clothing,1911108477.0
32066,2008,Germany,Import,United Kingdom,Unspecified,3752168896.594
72494,2008,Malaysia,Export,"Other Asia, nes","Machinery, appliances, and tools",1707436137.0
38887,2008,"China, Hong Kong SAR",Export,United Kingdom,"Machinery, appliances, and tools",3148439261.0
10417,2008,Belgium,Export,France,Chemicals and pharmaceuticals,9314017055.0
88307,2008,Morocco,Export,France,Textiles and clothing,1385326352.281
38450,2008,USA,Import,Italy,Furniture and decor,3183434366.0
65568,2008,Belgium,Import,USA,Metals,1897493449.0
64966,2008,"Other Asia, nes",Export,Japan,Metals,1916299799.0
10349,2008,Germany,Import,Italy,Vehicles and their parts,9360053478.208
65566,2008,Japan,Import,United Kingdom,Chemicals and pharmaceuticals,1897598883.0
87044,2008,Sweden,Export,Finland,Metals,1407616930.0
19562,2008,Spain,Import,Saudi Arabia,"Minerals, stone, and their products",5699214410.573999
97342,2008,Spain,Import,Indonesia,"Minerals, stone, and their products",1244829074.263
49352,2008,USA,Import,Cambodia,Textiles and clothing,2521276407.0
64971,2008,Hungary,Export,Netherlands,"Machinery, appliances, and tools",1916112000.0
31930,2008,Italy,Import,Belgium,"Machinery, appliances, and tools",3767661180.804
19554,2008,United Kingdom,Import,Ireland,Chemicals and pharmaceuticals,5701223542.0
64976,2008,Portugal,Export,Spain,"Machinery, appliances, and tools",1915982315.0
32601,2008,Australia,Import,Viet Nam,"Minerals, stone, and their products",3701502954.0
10355,2008,United Kingdom,Export,Switzerland,Metals,9356976996.0
54827,2008,Russian Federation,Import,France,"Machinery, appliances, and tools",2274496003.0
11115,2008,China,Import,USA,Plant products,8853298151.0
64983,2008,China,Export,Rep. of Korea,Animal products,1915790440.0
80027,2008,China,Import,Belgium,Metals,1539517512.0
31935,2008,Italy,Import,Norway,"Minerals, stone, and their products",3767150862.646
10342,2008,Singapore,Export,"China, Hong Kong SAR","Minerals, stone, and their products",9365148527.0
39051,2008,Mexico,Import,Netherlands,"Minerals, stone, and their products",3137457103.0
48819,2008,Switzerland,Import,USA,"Machinery, appliances, and tools",2549235190.2939997
72590,2008,China,Export,Canada,Arts and games products,1705079564.0
19602,2008,China,Import,Chile,Metals,5690384121.0
2187,2008,Japan,Import,Qatar,"Minerals, stone, and their products",26529386205.0
2868,2008,Türkiye,Import,Russian Federation,"Minerals, stone, and their products",22758131461.0
64940,2008,Romania,Import,Italy,Textiles and clothing,1917128200.66
72587,2008,Italy,Export,Belgium,Vehicles and their parts,1705206886.772
72582,2008,Brazil,Import,France,"Machinery, appliances, and tools",1705382877.0
88199,2008,USA,Export,Venezuela,Chemicals and pharmaceuticals,1387336585.0
84512,2008,USA,Import,Switzerland,Metals,1453819582.0
32617,2008,Romania,Import,Kazakhstan,"Minerals, stone, and their products",3700256185.8900003
19589,2008,Belgium,Export,France,plastics and rubber,5692680157.0
79134,2008,Rep. of Korea,Import,Brazil,"Minerals, stone, and their products",1557579268.0
39069,2008,Belgium,Import,India,Metals,3135776383.0
10334,2008,Spain,Import,Russian Federation,"Minerals, stone, and their products",9371239755.934
88318,2008,USA,Export,Qatar,Vehicles and their parts,1385215878.0
31903,2008,Indonesia,Export,Singapore,"Machinery, appliances, and tools",3770709799.0
95028,2008,"Other Asia, nes",Export,USA,Furniture and decor,1278899686.0
10320,2008,China,Export,Italy,"Machinery, appliances, and tools",9382270537.0
19542,2008,Singapore,Import,United Arab Emirates,"Minerals, stone, and their products",5702916360.0
19541,2008,Indonesia,Import,Singapore,"Machinery, appliances, and tools",5702997098.0
19540,2008,USA,Export,United Kingdom,Furniture and decor,5703063370.0
10386,2008,Israel,Export,USA,Metals,9331608000.0
11094,2008,Germany,Import,Austria,Metals,8866108488.499
84530,2008,Spain,Export,United Kingdom,Chemicals and pharmaceuticals,1453584770.079
65014,2008,Netherlands,Import,China,Metals,1914613319.0
86914,2008,Germany,Export,Russian Federation,"Minerals, stone, and their products",1410176086.029
79130,2008,India,Import,China,Textiles and clothing,1557660053.0
82895,2008,Switzerland,Import,China,"Machinery, appliances, and tools",1483527530.425
10397,2008,United Kingdom,Export,USA,Vehicles and their parts,9326250901.0
65009,2008,Viet Nam,Import,Singapore,"Machinery, appliances, and tools",1914902876.0
31967,2008,United Kingdom,Import,Netherlands,Plant products,3764207687.0
86918,2008,Switzerland,Export,Japan,Metals,1410110706.89
71961,2008,Thailand,Import,Japan,Chemicals and pharmaceuticals,1720975581.0
54796,2008,Japan,Export,Italy,Vehicles and their parts,2276244168.0
80574,2008,United Kingdom,Import,Belgium,Miscellaneous food products,1528507882.0
65511,2008,Germany,Export,Belgium,Miscellaneous food products,1899415287.1520002
38997,2008,USA,Import,Brazil,Vehicles and their parts,3140651143.0
83021,2008,Japan,Import,Malaysia,Paper and wood,1481207387.0
31979,2008,Japan,Export,Belgium,"Machinery, appliances, and tools",3763248197.0
65522,2008,Italy,Import,Hungary,"Machinery, appliances, and tools",1899005759.6009998
1169,2008,Germany,Export,USA,"Machinery, appliances, and tools",39428852287.665
31955,2008,Türkiye,Import,Switzerland,Metals,3765581408.0
48868,2008,Greece,Import,Libya,"Minerals, stone, and their products",2546620499.0
71935,2008,Japan,Export,Netherlands,Unspecified,1721803854.0
19537,2008,Australia,Export,India,"Minerals, stone, and their products",5703812917.0
38453,2008,Pakistan,Import,United Arab Emirates,"Minerals, stone, and their products",3183226284.0
48862,2008,USA,Import,Spain,"Machinery, appliances, and tools",2546916327.0
39034,2008,Italy,Export,Austria,"Machinery, appliances, and tools",3138409252.315
31941,2008,China,Export,India,Chemicals and pharmaceuticals,3766445353.0
78609,2008,Czechia,Import,Azerbaijan,"Minerals, stone, and their products",1568676406.0
64991,2008,Germany,Import,Sweden,Chemicals and pharmaceuticals,1915582807.837
19528,2008,Belgium,Import,Japan,Vehicles and their parts,5705856972.0
19526,2008,Germany,Import,Poland,Metals,5706081824.603
19524,2008,Spain,Import,Italy,"Minerals, stone, and their products",5706433818.778
64993,2008,Australia,Import,USA,Chemicals and pharmaceuticals,1915455819.0
48864,2008,France,Export,Spain,Animal products,2546847194.0
38466,2008,Viet Nam,Import,China,Metals,3182109725.0
49345,2008,Italy,Export,France,Paper and wood,2521521231.6150002
38471,2008,Russian Federation,Import,Ukraine,"Machinery, appliances, and tools",3181837489.0
48866,2008,Netherlands,Import,Belgium,Animal products,2546737664.0
18771,2008,Canada,Import,Japan,"Machinery, appliances, and tools",5881850403.0
72532,2008,USA,Import,France,Cosmetics and soaps,1706448169.0
10415,2008,Singapore,Import,Malaysia,"Minerals, stone, and their products",9315152517.0
38567,2008,China,Import,Germany,Chemicals and pharmaceuticals,3174040014.0
10563,2008,China,Export,Spain,"Machinery, appliances, and tools",9215864197.0
81470,2008,Malaysia,Export,Rep. of Korea,"Machinery, appliances, and tools",1510648307.0
54406,2008,Netherlands,Export,China,"Machinery, appliances, and tools",2290709535.0
32257,2008,Denmark,Export,Special Categories,Chemicals and pharmaceuticals,3733815987.0
97192,2008,Switzerland,Import,USA,Vehicles and their parts,1246793230.345
65261,2008,"Other Asia, nes",Import,Japan,"Minerals, stone, and their products",1906814649.0
38757,2008,Italy,Import,Spain,Metals,3158392132.821
38755,2008,USA,Import,Japan,Arts and games products,3158437375.0
10724,2008,Germany,Export,Türkiye,"Machinery, appliances, and tools",9104862279.222
32437,2008,Ireland,Import,China,"Machinery, appliances, and tools",3716624573.32
54550,2008,USA,Export,"Other Asia, nes",Chemicals and pharmaceuticals,2286534016.0
84564,2008,Argentina,Export,Spain,Miscellaneous food products,1452676899.0
99121,2008,Rep. of Korea,Import,USA,plastics and rubber,1219668940.0
54537,2008,China,Export,Indonesia,Metals,2286982746.0
95152,2008,Poland,Import,Czechia,"Machinery, appliances, and tools",1276811135.0
18965,2008,Trinidad and Tobago,Export,USA,"Minerals, stone, and their products",5835537570.0
38623,2008,Switzerland,Export,Italy,"Machinery, appliances, and tools",3169293772.642
72102,2008,Japan,Export,Thailand,Unspecified,1717009100.0
32425,2008,Australia,Export,"Other Asia, nes","Minerals, stone, and their products",3717943576.0
54535,2008,India,Import,China,"Minerals, stone, and their products",2287025198.0
72242,2008,Russian Federation,Import,United Kingdom,"Machinery, appliances, and tools",1713761434.0
88257,2008,Mexico,Import,Brazil,Vehicles and their parts,1386251463.0
72253,2008,China,Import,Japan,Paper and wood,1713356062.0
54405,2008,United Kingdom,Export,Ireland,Textiles and clothing,2290780703.0
72273,2008,Singapore,Export,Philippines,"Minerals, stone, and their products",1713021418.0
65405,2008,Japan,Export,Hungary,"Machinery, appliances, and tools",1902140369.0
38773,2008,United Kingdom,Export,United Arab Emirates,Metals,3156472305.0
10696,2008,Germany,Export,Netherlands,"Minerals, stone, and their products",9129424507.019001
91925,2008,USA,Import,Germany,Miscellaneous food products,1326924308.0
10700,2008,Netherlands,Import,Germany,"Minerals, stone, and their products",9122530341.0
54398,2008,Indonesia,Export,USA,plastics and rubber,2291279811.0
65246,2008,Japan,Import,Canada,Animal products,1907181180.0
18955,2008,Netherlands,Import,France,"Machinery, appliances, and tools",5837060096.0
19168,2008,Japan,Import,China,Chemicals and pharmaceuticals,5785828151.0
95139,2008,Canada,Export,Japan,Animal products,1277119922.0
54557,2008,United Kingdom,Export,Germany,plastics and rubber,2286078595.0
10913,2008,Italy,Export,Germany,Vehicles and their parts,8988602047.778
32245,2008,China,Export,Belgium,"Machinery, appliances, and tools",3735715717.0
19159,2008,"Other Asia, nes",Export,Rep. of Korea,"Machinery, appliances, and tools",5787429362.0
19158,2008,Italy,Import,Iraq,"Minerals, stone, and their products",5788031883.981
90549,2008,Netherlands,Import,Belgium,Plant products,1348327313.0
54404,2008,Germany,Import,Austria,plastics and rubber,2290783645.303
18947,2008,Germany,Export,Belgium,Unspecified,5839322616.172
19115,2008,China,Import,Argentina,Plant products,5799873056.0
569,2008,USA,Import,China,Arts and games products,58482681158.0
65280,2008,Switzerland,Import,Austria,"Machinery, appliances, and tools",1906134431.57
78590,2008,Morocco,Import,Russian Federation,"Minerals, stone, and their products",1569240991.073
32379,2008,Japan,Export,Australia,"Machinery, appliances, and tools",3722526276.0
10801,2008,Canada,Import,USA,Unspecified,9059720486.0
10802,2008,Germany,Export,Netherlands,Vehicles and their parts,9058901685.656
65308,2008,United Kingdom,Export,South Africa,Metals,1905348486.0
82974,2008,"China, Hong Kong SAR",Import,USA,plastics and rubber,1482074702.0
72168,2008,Kazakhstan,Export,China,Metals,1715397189.0
19057,2008,Singapore,Import,USA,Vehicles and their parts,5814555243.0
82986,2008,Belgium,Export,China,Metals,1481965270.0
80533,2008,Peru,Import,Ecuador,"Minerals, stone, and their products",1529121569.0
72129,2008,Slovakia,Import,Hungary,"Machinery, appliances, and tools",1716571594.0
81474,2008,State of Palestine,Import,Israel,"Minerals, stone, and their products",1510595886.474
32356,2008,France,Import,Belgium,Chemicals and pharmaceuticals,3724630808.0
38665,2008,Russian Federation,Import,Ukraine,Vehicles and their parts,3166225178.0
38648,2008,Malaysia,Import,"China, Hong Kong SAR","Machinery, appliances, and tools",3167594813.0
99316,2008,France,Export,USA,Cosmetics and soaps,1217187740.0
10853,2008,France,Import,Belgium,Metals,9029772777.0
84588,2008,USA,Export,Netherlands,Unspecified,1452292428.0
38677,2008,United Arab Emirates,Import,United Kingdom,Metals,3165374090.0
19069,2008,USA,Import,Switzerland,"Machinery, appliances, and tools",5811100513.0
72123,2008,Indonesia,Import,Germany,"Machinery, appliances, and tools",1716629354.0
72122,2008,Italy,Export,Spain,Chemicals and pharmaceuticals,1716634125.119
49079,2008,USA,Import,Netherlands,Chemicals and pharmaceuticals,2535539170.0
88254,2008,Canada,Export,Rep. of Korea,"Minerals, stone, and their products",1386305716.0
65374,2008,Thailand,Export,China,"Minerals, stone, and their products",1902978005.0
32412,2008,Rep. of Korea,Import,China,Chemicals and pharmaceuticals,3719726736.0
72218,2008,Indonesia,Export,Japan,plastics and rubber,1714287730.0
49091,2008,Poland,Import,Germany,Paper and wood,2534663952.0
54430,2008,Canada,Import,United Kingdom,"Machinery, appliances, and tools",2290283726.0
72202,2008,Mexico,Import,China,Unspecified,1714746482.0
65363,2008,France,Export,Switzerland,Metals,1903301180.0
72197,2008,Singapore,Export,France,"Machinery, appliances, and tools",1714894480.0
78587,2008,Rep. of Korea,Import,China,Vehicles and their parts,1569323005.0
10880,2008,USA,Import,Colombia,"Minerals, stone, and their products",9013028386.0
54432,2008,Portugal,Import,Spain,Textiles and clothing,2290249713.0
38701,2008,"Other Asia, nes",Import,USA,Chemicals and pharmaceuticals,3162538114.0
65361,2008,United Kingdom,Export,Ireland,Vehicles and their parts,1903388287.0
49184,2008,Germany,Import,France,Paper and wood,2529809062.988
54443,2008,China,Export,Russian Federation,Vehicles and their parts,2289933350.0
581,2008,Japan,Import,China,"Machinery, appliances, and tools",57943071510.0
19074,2008,Italy,Export,Spain,"Minerals, stone, and their products",5809704573.739
2908,2008,Singapore,Import,USA,"Machinery, appliances, and tools",22529269980.0
10919,2008,Czechia,Import,China,"Machinery, appliances, and tools",8986946000.0
38607,2008,Brazil,Import,Bolivia (Plurinational State of),"Minerals, stone, and their products",3170302740.0
72082,2008,Rep. of Korea,Import,Thailand,"Machinery, appliances, and tools",1717389913.0
65158,2008,Norway,Import,Sweden,"Minerals, stone, and their products",1909866738.179
10596,2008,China,Import,Rep. of Korea,plastics and rubber,9193443022.0
90601,2008,France,Import,Denmark,"Machinery, appliances, and tools",1347447757.0
65440,2008,Rep. of Korea,Export,Thailand,"Machinery, appliances, and tools",1901098553.0
65168,2008,Germany,Export,Finland,Unspecified,1909496412.708
19280,2008,Germany,Export,Switzerland,Vehicles and their parts,5761879314.782
38585,2008,Russian Federation,Export,Bulgaria,"Minerals, stone, and their products",3171925936.0
38856,2008,Germany,Export,Slovakia,Vehicles and their parts,3150313686.647
54346,2008,China,Export,India,Textiles and clothing,2293254736.0
10952,2008,USA,Export,Netherlands,"Minerals, stone, and their products",8961619927.0
48991,2008,Libya,Export,USA,"Minerals, stone, and their products",2540219096.0
49222,2008,Denmark,Export,United Kingdom,"Machinery, appliances, and tools",2528211025.0
18898,2008,USA,Export,Venezuela,"Machinery, appliances, and tools",5850861472.0
65178,2008,Germany,Export,Poland,Animal products,1909142549.2089999
54641,2008,Russian Federation,Import,Hungary,"Machinery, appliances, and tools",2282699227.0
49218,2008,Germany,Export,Austria,Animal products,2528316489.522
54638,2008,Sweden,Import,Norway,Animal products,2282766306.0
19261,2008,China,Export,Japan,Animal products,5767340805.0
95198,2008,USA,Export,Colombia,"Minerals, stone, and their products",1276250459.0
32493,2008,United Kingdom,Import,Italy,Vehicles and their parts,3711415395.0
48987,2008,Germany,Export,Russian Federation,Metals,2540408267.284
32123,2008,Czechia,Export,France,"Machinery, appliances, and tools",3746655000.0
19325,2008,China,Import,France,"Machinery, appliances, and tools",5751254887.0
19324,2008,Germany,Import,"Other Asia, nes","Machinery, appliances, and tools",5751317530.4869995
10564,2008,"China, Hong Kong SAR",Export,Japan,"Machinery, appliances, and tools",9215314343.0
19322,2008,United Arab Emirates,Import,China,"Machinery, appliances, and tools",5751759281.0
32103,2008,Poland,Export,France,"Machinery, appliances, and tools",3749080982.0
10982,2008,United Kingdom,Import,Switzerland,Metals,8945265275.0
10569,2008,Poland,Import,China,"Machinery, appliances, and tools",9212458980.0
19316,2008,Germany,Export,Switzerland,"Minerals, stone, and their products",5754251057.615
10571,2008,Italy,Export,France,Metals,9211773812.881
38573,2008,France,Export,Spain,Miscellaneous food products,3173559179.0
38881,2008,Denmark,Export,USA,"Machinery, appliances, and tools",3148839888.0
86944,2008,France,Export,Brazil,"Machinery, appliances, and tools",1409616654.0
1149,2008,"Other Asia, nes",Export,China,"Machinery, appliances, and tools",39849061140.0
65448,2008,Netherlands,Export,Spain,Chemicals and pharmaceuticals,1900888690.0
54677,2008,Thailand,Export,Japan,plastics and rubber,2281120847.0
48974,2008,Portugal,Import,Nigeria,"Minerals, stone, and their products",2540882507.0
88292,2008,Türkiye,Export,Russian Federation,Vehicles and their parts,1385507654.0
88289,2008,Sweden,Export,Denmark,Metals,1385597865.0
10584,2008,Japan,Export,China,Vehicles and their parts,9205389040.0
72051,2008,Spain,Export,Portugal,Paper and wood,1718258481.716
18729,2008,Italy,Export,France,Textiles and clothing,5891203026.38
48998,2008,China,Import,China,Metals,2539834303.0
32154,2008,France,Export,Spain,Chemicals and pharmaceuticals,3743755035.0
49034,2008,Germany,Export,Iran,"Machinery, appliances, and tools",2537970977.012
49040,2008,China,Export,Viet Nam,Textiles and clothing,2537805169.0
54588,2008,Slovakia,Export,United Kingdom,"Machinery, appliances, and tools",2285049145.0
88225,2008,United Kingdom,Import,France,Textiles and clothing,1386867589.0
18926,2008,France,Export,Belgium,Metals,5843215699.0
79099,2008,United Arab Emirates,Export,"Other Africa, nes","Minerals, stone, and their products",1558236100.0
72071,2008,Germany,Import,Syria,"Minerals, stone, and their products",1717857685.941
95190,2008,"China, Hong Kong SAR",Export,China,Vehicles and their parts,1276354821.0
54377,2008,Switzerland,Export,Japan,Textiles and clothing,2292207029.284
19203,2008,Germany,Import,China,Furniture and decor,5779033951.7
84605,2008,Mozambique,Export,Netherlands,Metals,1451847073.0
19198,2008,Argentina,Import,Brazil,Vehicles and their parts,5779747852.0
19197,2008,Italy,Export,Poland,"Machinery, appliances, and tools",5779917572.745999
99319,2008,Thailand,Export,Viet Nam,"Minerals, stone, and their products",1217168237.0
72078,2008,Netherlands,Export,USA,Miscellaneous food products,1717460402.0
10673,2008,United Kingdom,Import,Japan,"Machinery, appliances, and tools",9142003157.0
49047,2008,Türkiye,Export,Germany,"Machinery, appliances, and tools",2537518987.0
65233,2008,Belgium,Import,United Arab Emirates,Metals,1907532912.0
38605,2008,Germany,Export,Sweden,Metals,3170477930.188
19216,2008,Sweden,Import,Russian Federation,"Minerals, stone, and their products",5776737496.0
10658,2008,France,Export,Italy,"Machinery, appliances, and tools",9153332288.0
18922,2008,Germany,Export,Italy,Chemicals and pharmaceuticals,5843991031.112
86954,2008,France,Export,Spain,Cosmetics and soaps,1409451440.0
86955,2008,Russian Federation,Export,Croatia,"Minerals, stone, and their products",1409409663.0
32478,2008,United Kingdom,Import,Czechia,"Machinery, appliances, and tools",3712757646.0
19250,2008,Belgium,Export,Netherlands,Metals,5769483459.0
65429,2008,Saudi Arabia,Import,Germany,Vehicles and their parts,1901515444.0
65193,2008,Rep. of Korea,Import,China,Animal products,1908730030.0
54617,2008,France,Export,Switzerland,"Minerals, stone, and their products",2283919524.0
49008,2008,France,Export,Belgium,plastics and rubber,2539387530.0
19240,2008,China,Export,Italy,Textiles and clothing,5772368805.0
32175,2008,Germany,Import,Hungary,Vehicles and their parts,3741850569.7200003
90597,2008,Germany,Export,India,Unspecified,1347470553.426
32179,2008,Czechia,Export,Netherlands,"Machinery, appliances, and tools",3741643000.0
99808,2008,Singapore,Export,Netherlands,Chemicals and pharmaceuticals,1210700566.0
95194,2008,South Africa,Import,Yemen,"Minerals, stone, and their products",1276316407.0
558,2008,USA,Import,Japan,"Machinery, appliances, and tools",59140011281.0
87010,2008,Germany,Export,Belarus,"Machinery, appliances, and tools",1408198623.7810001
81582,2008,Spain,Import,Austria,"Machinery, appliances, and tools",1508360003.001
38818,2008,Italy,Export,Russian Federation,Textiles and clothing,3152970335.7070003
88273,2008,USA,Import,Indonesia,Furniture and decor,1385952820.0
