,Year,Reporter,Import/Export,Partner,Description,Value_USD
93880,2000,United Kingdom,Import,Belgium,Chemicals and pharmaceuticals,1295722269.0
93885,2000,Indonesia,Export,"Other Asia, nes","Minerals, stone, and their products",1295649757.0
61283,2000,Germany,Import,Belgium,"Machinery, appliances, and tools",2034310000.0
99419,2000,Spain,Import,Sweden,"Machinery, appliances, and tools",1215883549.147
24337,2000,United Kingdom,Import,Belgium,Vehicles and their parts,4768056716.0
60964,2000,Italy,Export,USA,"Minerals, stone, and their products",2045893424.84
24399,2000,Mexico,Import,USA,Paper and wood,4755644372.0
60751,2000,Germany,Export,Belgium,Chemicals and pharmaceuticals,2052945000.0
60785,2000,Netherlands,Import,USA,Chemicals and pharmaceuticals,2051961166.0
60788,2000,Belgium,Export,France,Paper and wood,2051931545.0
24568,2000,United Kingdom,Export,Switzerland,Metals,4729082178.0
93754,2000,"China, Hong Kong SAR",Export,Malaysia,"Machinery, appliances, and tools",1297559728.0
24541,2000,"China, Hong Kong SAR",Export,Japan,"Machinery, appliances, and tools",4733126082.0
24474,2000,Norway,Export,France,"Minerals, stone, and their products",4744869246.794
79484,2000,Germany,Export,Austria,plastics and rubber,1550030000.0
81684,2000,Japan,Export,USA,"Minerals, stone, and their products",1506376083.0
60905,2000,Spain,Import,United Kingdom,Vehicles and their parts,2047930521.0
24422,2000,Germany,Export,China,"Machinery, appliances, and tools",4753140000.0
24420,2000,Japan,Export,USA,Chemicals and pharmaceuticals,4753397871.0
24414,2000,Germany,Import,Ireland,Chemicals and pharmaceuticals,4754030000.0
85550,2000,Germany,Export,Spain,plastics and rubber,1434673000.0
24405,2000,Germany,Export,Sweden,"Machinery, appliances, and tools",4754951000.0
93912,2000,Spain,Import,France,plastics and rubber,1295262716.229
61323,2000,Russian Federation,Export,Netherlands,"Minerals, stone, and their products",2032620984.0
93915,2000,France,Import,Netherlands,plastics and rubber,1295162505.0
61340,2000,Italy,Export,Germany,plastics and rubber,2031866759.229
61695,2000,Portugal,Import,Germany,"Machinery, appliances, and tools",2019402987.0
